Date,Campaign Name,Adset Name,Ad Name,CPM (Cost per 1000 Impressions),Action Leads,Cost Per Action Leads,CPC (Cost per Click),"Spend (Cost, Amount Spent)",Daily Budget,CTR (Clickthrough Rate)
2026-05-23,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"24,355444",0,0,"0,926667","19,46",21,"2,628285"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"53,780069",0,0,"2,608333","15,65",20,"2,061856"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] IMG - ADV+ | ABERTO 18/05,AD02 IMG,"91,898734",0,0,"7,26","7,26",20,"1,265823"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"118,534483",1,"13,75","6,875","13,75",20,"1,724138"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"84,525547",0,0,"5,79","11,58",20,"1,459854"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"114,179104",1,"7,65","3,825","7,65",20,"2,985075"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"42,507205",0,0,"2,95","14,75",20,"1,440922"
2026-05-23,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"30,169492",1,"16,02","3,204","16,02",20,"0,94162"
2026-05-24,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"6,63144",0,0,"0,522917","25,1",21,"1,268164"
2026-05-24,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"27,912844",0,0,"0,869286","24,34",21,"3,211009"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"65,675676",0,0,"4,86","24,3",20,"1,351351"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"118,185841",0,0,"26,71","26,71",20,"0,442478"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"102,844444",0,0,"23,14","23,14",20,"0,444444"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"125,097087",1,"25,77","12,885","25,77",20,"0,970874"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"60,307329",0,0,"25,51","25,51",20,"0,236407"
2026-05-24,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"31,315166",2,"13,215","8,81","26,43",20,"0,35545"
2026-05-25,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"6,59956",0,0,"0,511707","20,98",21,"1,289714"
2026-05-25,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"35,774878",0,0,"1,566429","21,93",21,"2,28385"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"54,360087",2,"12,53","3,58","25,06",20,"1,518438"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"115,210084",0,0,"6,855","27,42",20,"1,680672"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"113,421053",0,0,"7,183333","21,55",20,"1,578947"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"140,833333",2,"12,675","3,16875","25,35",20,"4,444444"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"35,826087",1,"24,72","4,12","24,72",20,"0,869565"
2026-05-25,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"24,923234",2,"12,175","2,435","24,35",20,"1,023541"
2026-05-26,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"6,836801",0,0,"0,512927","21,03",21,"1,3329"
2026-05-26,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"34,49848",0,0,"1,194737","22,7",21,"2,887538"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"46,004184",1,"21,99","3,665","21,99",20,"1,25523"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"113,765182",0,0,"9,366667","28,1",20,"1,214575"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"93,715278",2,"13,495","2,998889","26,99",20,"3,125"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"63,389121",0,0,"3,366667","30,3",20,"1,882845"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"32,161785",0,0,"3,843333","23,06",20,"0,83682"
2026-05-26,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"24,627767",0,0,"8,16","24,48",20,"0,301811"
2026-05-27,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"7,212663",0,0,"0,476364","20,96",21,"1,514109"
2026-05-27,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"32,051282",0,0,"1,323529","22,5",21,"2,421652"
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"43,992016",0,0,"1,695385","22,04",20,"2,59481"
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"122,971429",0,0,0,"21,52",20,0
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"112,10084",0,0,"4,446667","26,68",20,"2,521008"
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"80,892857",0,0,"7,55","22,65",20,"1,071429"
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"41,313485",0,0,"11,795","23,59",20,"0,350263"
2026-05-27,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"23,1813",0,0,"10,165","20,33",20,"0,22805"
2026-05-28,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"6,635823",0,0,"0,590588","20,08",21,"1,123596"
2026-05-28,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"36,660413",0,0,"1,085556","19,54",21,"3,377111"
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"38,574561",0,0,"1,465833","17,59",20,"2,631579"
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"127,972028",0,0,0,"18,3",20,0
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"116,911765",0,0,0,"23,85",20,0
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"75,473684",0,0,"2,39","14,34",20,"3,157895"
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"28,18038",0,0,"2,544286","17,81",20,"1,107595"
2026-05-28,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"18,942505",0,0,"2,05","18,45",20,"0,924025"
2026-05-29,"Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","13,233083",0,0,0,"1,76",21,0
2026-05-29,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,Post do Instagram: Se esse conteúdo fez sentido...,"7,430407",0,0,"0,694","10,41",21,"1,070664"
2026-05-29,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,"13,763441",0,0,"1,28","2,56",21,"1,075269"
2026-05-29,[THIAGOSILVA.ADS] Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,Instagram post: ⏰ O cliente não espera pra...,"42,836538",0,0,"1,272857","8,91",21,"3,365385"
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"39,066986",0,0,"2,332857","16,33",20,"1,674641"
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"147,159091",0,0,0,"12,95",20,0
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"77,973856",0,0,"5,965","11,93",20,"1,30719"
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"65,233645",0,0,"3,49","13,96",20,"1,869159"
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"32,122449",0,0,"5,246667","15,74",20,"0,612245"
2026-05-29,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"22,054208",0,0,"2,208571","15,46",20,"0,998573"
2026-05-30,"Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","23,543897",0,0,"2,199","21,99",21,"1,070664"
2026-05-30,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,"21,951983",0,0,"1,168333","21,03",21,"1,878914"
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"45,018182",0,0,"1,768571","12,38",20,"2,545455"
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"130,789474",0,0,0,"4,97",20,0
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"85,671642",0,0,"2,87","5,74",20,"2,985075"
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"65,73913",0,0,"7,56","7,56",20,"0,869565"
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"41,46789",0,0,"4,52","9,04",20,"0,917431"
2026-05-30,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"26,515957",0,0,"2,4925","9,97",20,"1,06383"
2026-05-31,"Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","Post do Instagram: Comenta aqui, qual desses 3...","19,882759",0,0,"1,922","28,83",21,"1,034483"
2026-05-31,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,Post do Instagram: Vem comigo analisar esse...,"25,693431",0,0,"0,912593","24,64",21,"2,815433"
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,01 [CRM] IMG - ADV+ | ABERTO 18/05,AD01 IMG,"54,317181",0,0,"4,11","24,66",20,"1,321586"
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,02 [CRM] TH VIDEO - ADV+ | ABERTO 18/05,AD02 TH,"281,052632",0,0,0,"32,04",20,0
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,03 [CRM] IMG - ADV+ | ABERTO 18/05,AD03 IMG,"139,906542",0,0,"7,485","29,94",20,"1,869159"
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] IMG - ADV+ | ABERTO 18/05,AD04 IMG,"91,231884",0,0,"5,036","25,18",20,"1,811594"
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,04 [CRM] VIDEO - ADV+ | ABERTO 16/05,AD04*,"58,984547",0,0,"3,817143","26,72",20,"1,545254"
2026-05-31,🟡 [CADASTRO] [16/12] [CBO] - TRAFEGO DIRETO,07 [CRM] VIDEO - ADV+ | ABERTO 18/05,AD07,"26,494961",0,0,"2,150909","23,66",20,"1,231803"
